[2026-04-27T07:09:22] STARTUP | condition=system starting
[2026-04-27T07:10:53] SHUTDOWN | condition=manual
[2026-04-27T07:19:28] STARTUP | condition=system starting
[2026-04-27T07:27:33] ANOMALY_DETECTED | 216.180.246.126 | condition=zscore=4.04 | rate=0.03>0.01 | error_surge | rate=0.03 | baseline=0.00
[2026-04-27T07:27:33] BAN | 216.180.246.126 | condition=zscore=4.04 | rate=0.03>0.01 | error_surge | rate=0.03 | baseline=0.00 | duration=600s
[2026-04-27T07:27:33] GLOBAL_ANOMALY | condition=global_zscore=4.04 | global_rate=0.03 | rate=0.03 | baseline=0.00
[2026-04-27T07:27:35] GLOBAL_ANOMALY | condition=global_zscore=6.35 | global_rate=0.05 | rate=0.05 | baseline=0.00
[2026-04-27T07:27:37] GLOBAL_ANOMALY | condition=global_zscore=8.66 | global_rate=0.07 | rate=0.07 | baseline=0.00
[2026-04-27T07:27:40] GLOBAL_ANOMALY | condition=global_zscore=10.97 | global_rate=0.08 | rate=0.08 | baseline=0.00
[2026-04-27T07:27:42] GLOBAL_ANOMALY | condition=global_zscore=13.28 | global_rate=0.10 | rate=0.10 | baseline=0.00
[2026-04-27T07:27:44] GLOBAL_ANOMALY | condition=global_zscore=15.59 | global_rate=0.12 | rate=0.12 | baseline=0.00
[2026-04-27T07:27:47] GLOBAL_ANOMALY | condition=global_zscore=17.90 | global_rate=0.13 | rate=0.13 | baseline=0.00
[2026-04-27T21:53:03] STARTUP | condition=system starting
[2026-04-27T21:59:17] SHUTDOWN | condition=manual
[2026-04-27T22:02:46] STARTUP | condition=system starting
[2026-04-27T22:08:54] SHUTDOWN | condition=manual
[2026-04-27T22:11:04] STARTUP | condition=system starting
[2026-04-27T22:49:29] ANOMALY_DETECTED | 172.18.0.1 | condition=rate=3.77>3.76 | rate=3.77 | baseline=0.75
[2026-04-27T22:49:29] BAN | 172.18.0.1 | condition=rate=3.77>3.76 | rate=3.77 | baseline=0.75 | duration=600s
[2026-04-27T22:49:29] GLOBAL_ANOMALY | condition=global_rate=3.77 | rate=3.77 | baseline=0.75
[2026-04-27T22:49:29] GLOBAL_ANOMALY | condition=global_rate=3.78 | rate=3.78 | baseline=0.75
[2026-04-27T22:49:29] GLOBAL_ANOMALY | condition=global_rate=3.80 | rate=3.80 | baseline=0.75
[2026-04-27T22:49:29] GLOBAL_ANOMALY | condition=global_rate=3.82 | rate=3.82 | baseline=0.75
[2026-04-27T22:49:29] GLOBAL_ANOMALY | condition=global_rate=3.83 | rate=3.83 | baseline=0.75
[2026-04-27T22:49:29] GLOBAL_ANOMALY | condition=global_rate=3.85 | rate=3.85 | baseline=0.75
[2026-04-27T22:49:29] GLOBAL_ANOMALY | condition=global_rate=3.87 | rate=3.87 | baseline=0.75
[2026-04-27T22:49:29] GLOBAL_ANOMALY | condition=global_rate=3.88 | rate=3.88 | baseline=0.75
[2026-04-27T22:49:29] GLOBAL_ANOMALY | condition=global_rate=3.90 | rate=3.90 | baseline=0.75
[2026-04-27T22:49:29] GLOBAL_ANOMALY | condition=global_rate=3.92 | rate=3.92 | baseline=0.75
[2026-04-27T22:49:29] GLOBAL_ANOMALY | condition=global_rate=3.93 | rate=3.93 | baseline=0.75
[2026-04-27T22:49:29] GLOBAL_ANOMALY | condition=global_rate=3.95 | rate=3.95 | baseline=0.75
[2026-04-27T22:49:29] GLOBAL_ANOMALY | condition=global_rate=3.97 | rate=3.97 | baseline=0.75
[2026-04-27T22:49:29] GLOBAL_ANOMALY | condition=global_rate=3.98 | rate=3.98 | baseline=0.75
[2026-04-27T22:49:29] GLOBAL_ANOMALY | condition=global_rate=4.00 | rate=4.00 | baseline=0.75
[2026-04-27T22:49:29] GLOBAL_ANOMALY | condition=global_rate=4.02 | rate=4.02 | baseline=0.75
[2026-04-27T22:49:29] GLOBAL_ANOMALY | condition=global_rate=4.03 | rate=4.03 | baseline=0.75
[2026-04-27T22:49:29] GLOBAL_ANOMALY | condition=global_rate=4.05 | rate=4.05 | baseline=0.75
[2026-04-27T22:49:29] GLOBAL_ANOMALY | condition=global_rate=4.07 | rate=4.07 | baseline=0.75
[2026-04-27T22:49:29] GLOBAL_ANOMALY | condition=global_rate=4.08 | rate=4.08 | baseline=0.75
[2026-04-27T22:49:29] GLOBAL_ANOMALY | condition=global_rate=4.10 | rate=4.10 | baseline=0.75
[2026-04-27T22:49:29] GLOBAL_ANOMALY | condition=global_rate=4.12 | rate=4.12 | baseline=0.75
